decision_id,decision,rationale,evidence_basis,analytical_implication,intended_report_destination
S2D011,"Treat INDEF-PPPI promotion, commission, platform-choice, and service-difference results as perception/preference context unless an observation directly measures economics.",Survey perceptions and stated choices do not establish realized deductions or causal changes in earnings and orders.,SRC017,SRC017 context observations are retained but excluded from realized deduction and driver unit-economics calculations.,Methodology — evidence layers
S2D012,Retain SRC020 as supporting association evidence without Stage 2 numerical observations.,The article metadata and abstract establish study scope and association findings but do not provide sufficiently defined numerical tables for project metric standardization.,SRC020; Stage 1 source assessment,SRC020 may inform later discussion of associations with appropriate scope limits but supplies no standardized numeric unit-economics rows in Stage 2E.,Methodology — evidence coverage limitations
S2D013,Retain only SRC030 numerical values whose labels and item denominators can be resolved sufficiently.,The 2020 brief contains several chart-based earnings categories with source-defined net terminology whose full cost basis and some category text are not sufficiently explicit for stronger mapping.,SRC030,Work-time prevalence and one clearly described source-defined net-income category are standardized; unresolved chart categories are not reconstructed.,Methodology — extraction limitations
S2D014,Use SRC017 as the canonical numerical source for the INDEF-PPPI survey programme and do not separately standardize overlapping SRC025 presentation figures by default.,The report and presentation describe the same underlying research programme and separately entering overlapping figures would duplicate evidence.,SRC017; SRC025,"SRC025 remains a companion reference and may be used only when it contributes a distinct, non-duplicative observation.",Methodology — source lineage and duplicate evidence
S2D015,Store comparability as a use-specific assessment rather than a permanent observation-level property.,The same observation may be eligible for one analytical use and ineligible for another.,Stage 0 comparability framework; Stage 2B architecture; Stage 2F assessments,Stage 2E standardized rows remain unchanged; later analysis must join comparability by intended use.,Methodology — comparability framework
S2D016,Require documented inflation treatment before eligible cross-period nominal monetary level comparisons.,Nominal IDR values from different periods do not represent the same purchasing-power basis.,SRC015; SRC016; Stage 0 inflation rule; S2C001; S2C002; S2C005,Comparable-with-transformation monetary assessments cannot be analyzed as real level changes until Stage 3 applies an eligible CPI transformation.,Methodology — inflation and monetary comparability
S2D017,Do not interpret cross-source sample comparability as national representativeness.,"Several surveys are purposive and differ in geography, recruitment, respondent composition, and period.",SRC013; SRC017; SRC029; SRC030; Stage 1 sampling assessment,Even aligned categories such as seven-day workweeks and reported 20 percent deductions support sample-level comparisons only.,Methodology — sampling and inference
S2D018,"Keep normative, platform-stated, perception, driver-reported, and realized deduction evidence separate during comparability assessment.",These evidence layers answer different questions and cannot be substituted for one another.,Stage 0 deduction framework; SRC013; SRC017; SRC026; SRC028; SRC029,Regulatory or platform policy may contextualize driver evidence but cannot establish realized deduction or legal compliance without matched evidence.,Methodology — deduction and regulatory evidence layers
S2D019,Close Stage 2 with source-specific standardized files rather than a pooled analytical dataset.,"Stage 2F confirms that no assessed cross-source comparison is directly comparable without transformation, caveat, contextual restriction, or exclusion.",Stage 2F comparability assessment; Stage 2G extraction validation,"Stage 3 must perform cleaning, harmonization, transformation eligibility checks, and analytical dataset preparation before any cross-source pooling.",Methodology — data flow and comparability
S2D020,Carry Stage 2 evidence limitations forward as binding analytical constraints.,"Unresolved denominators, the SRC013 locality discrepancy, non-equivalent samples, retrospective recall, ambiguous time/distance concepts, and incomplete unit-economics chains are properties of the evidence rather than extraction defects.",Stage 2G validation caveats,Later stages may transform or restrict eligible evidence but must not silently eliminate these limitations.,Methodology — limitations and analytical eligibility
S2D021,Do not calculate project net operating earnings during Stage 2.,"The available standardized evidence does not provide a complete same-observation chain from gross service earnings through realized driver deductions, receipts, and complete project-defined operating costs.",S2V028; S2V031; Stage 0 unit-economics accounting framework,Observed net operating earnings cannot be claimed from Stage 2 evidence; later scenario or reconstructed estimates require explicit documented assumptions and eligibility checks.,Methodology — unit-economics construction
