assessment_id,source_id,intended_use,evidence_class,comparability_status,assessment_status,rationale
ASM024,SRC018,derive project net earnings by subtracting article-mentioned food and fuel costs,secondary_survey_summary,not_comparable,not_eligible,Food is outside the project operating-cost boundary and cannot be bundled into driver operating costs.
ASM025,SRC018,use reported daily/weekly working hours,secondary_survey_summary,comparable_with_caveat,definition_limited,Working hours are relevant but online versus productive-hour meaning is not established.
ASM026,SRC019,treat driver desired commission rate as observed realized deduction,survey_perception,not_comparable,not_eligible,Preference or perception does not measure actual transaction deductions.
ASM027,SRC019,use driver fairness perceptions as context,survey_perception,context_only,usable_with_sample_caveat,Useful for attitudes but not unit-economics measurement.
ASM028,SRC020,support association between driver characteristics/workload and income in Jabodetabek,academic_primary,comparable_with_caveat,usable_with_caveat,Local questionnaire study can support association analysis if source-defined variables are retained; no causal or national inference is warranted.
ASM029,SRC020,generalize Jabodetabek results nationally,academic_primary,not_comparable,not_eligible_for_national_claim,Local study cannot establish national population effects.
ASM030,ALL,combine sources into pooled earnings estimate,mixed,not_comparable,deferred,Current evidence spans normative rules surveys secondary summaries local studies and official indexes; pooling depends on metric-level compatibility.
ASM031,SRC021,corroborate IDEAS methodology and geographic coverage,author_linked_research_summary,context_only,usable_for_methodology_corroboration,Author-linked article corroborates purposive sampling and sample size but does not replace primary brief tables.
ASM032,SRC022,model or benchmark fuel cost for observations in July 2026,fuel_price_secondary_official_reproduction,comparable_with_transformation,usable_with_source_caveat,Product geography and effective date are sufficiently explicit for cautious modelling; Pertamax varies regionally.
ASM033,SRC022,apply one national Pertamax price to all July 2026 driver observations,fuel_price_secondary_official_reproduction,not_comparable,not_eligible,Regional Pertamax price variation makes a single national value inappropriate.
ASM034,SRC006,treat Perpres 27/2026 as an already published operative legal text as of 2026-08-27,official_status_update,not_comparable,not_eligible,Official August status reporting indicated the broader online-transport rule remained under finalization/harmonization and no operative text was verified by the retrieval date.
ASM035,SRC023,interpret Fairwork interview evidence as process/policy verification rather than population prevalence,research_methodology,context_only,usable,Fairwork methodology explicitly describes non-representative worker recruitment and small per-platform interview samples.
ASM036,SRC024,use ANTARA report as Polling Institute methodology corroboration,secondary_methodology_corroboration,context_only,usable,Contemporaneous reporting corroborates fieldwork period sample size geography sampling method and reported margin of error.
ASM037,SRC025,use INDEF-PPPI companion presentation for sample-level perceptions,research_presentation,comparable_with_caveat,usable_with_caveat,Presentation shares the purposive-sample limitations of the underlying study and does not establish realized deductions.
ASM038,SRC026,use Grab maximum 8% statement as platform-stated implementation evidence,company_reported,comparable_with_caveat,usable_as_platform_stated_only,Company statement documents the platform-stated layer rather than transaction-level realized deduction.
ASM039,SRC026,use GrabBike Hemat processing timing as deduction-rate evidence,company_reported,not_comparable,not_eligible,Processing timing and deduction rate are analytically distinct.
ASM040,SRC027,separate GoSend customer application fee from driver travel fare,company_document,comparable_with_caveat,usable_with_service_scope,The fee definition is useful within GoSend but cannot automatically be generalized to other Gojek services.
ASM041,SRC020,use average expenditure as project operating cost,academic_primary,not_comparable,not_eligible,The expenditure definition is too broad without component decomposition.
ASM042,SRC028,use KP 564/2022 as historical regulatory reference,normative_legal,directly_comparable,usable_with_period_binding,JDIH verifies the historical instrument; it lists regulated cost components and a 20% application-use fee ceiling but was later amended and revoked.
ASM043,SRC029,use IDEAS 2023 aggregate driver economics,survey_policy_brief,comparable_with_caveat,usable_with_caveat,Jabodetabek purposive sample supports local descriptive evidence; retrospective historical values are not independent survey waves.
ASM044,SRC030,use IDEAS 2020 aggregate driver economics,survey_policy_brief,comparable_with_caveat,usable_with_caveat,Jabodetabek purposive sample supports historical local descriptive evidence; metric denominators must remain source-specific.
ASM045,"SRC030;SRC029;SRC013",treat IDEAS 2020 2023 and 2025 as a directly comparable longitudinal series,mixed_survey_series,comparable_with_caveat,not_directly_comparable,Sample coverage recruitment and some definitions differ across the three briefs; any cross-period comparison requires metric-level audit and explicit caveats.
