field_name,domain,data_type,unit_or_enum,definition,measurement_role,calculation_or_basis,required_for,comparability_notes
parking_tolls_cost,operating_cost,number,IDR,Work-related parking and toll costs paid by the driver.,cost observation,,unit economics,Preserve reimbursement status if applicable.
other_operating_cost,operating_cost,number,IDR,Other defensible work-related operating cost not captured elsewhere.,cost observation,,unit economics,Requires source label and rationale.
depreciation_cost,capital_cost,number,IDR,Allocated economic depreciation of an owned vehicle for work use.,economic cost,,economic-cost view,"Must document acquisition/value basis, useful life, residual value, and work allocation where modelled."
financing_interest_fees,capital_cost,number,IDR,Interest and financing fees attributable to the vehicle.,economic cost,,economic-cost view,Financing principal is excluded when depreciation is charged.
financing_principal_cash,capital_cashflow,number,IDR,Principal portion of vehicle financing paid in the period.,cash-flow item,,cash-flow view,Not an economic expense when depreciation is charged.
loan_installment_undivided,capital_cashflow,number,IDR,Source-reported vehicle installment when principal and interest are not separable.,cash-flow item,,cash-flow view,Do not relabel as depreciation or interest.
lease_rental_cost,capital_cost,number,IDR,Vehicle lease/rental payment attributable to work.,vehicle-access cost,,lease/cash-flow view,Do not add driver-level depreciation for the same vehicle use.
online_hours,activity,number,hours,Time logged in or available for app-based work.,denominator,,net/hour and utilization,Preferred time-commitment denominator when measured.
productive_or_engaged_hours,activity,number,hours,Time directly engaged in orders or source-defined productive activity.,denominator,,productive-hour metrics,Never substitute for online hours silently.
working_hours_source_reported,activity,number,hours,Source-reported working hours when the definition cannot be resolved further.,denominator,,caveated hourly metrics,Definition uncertainty must remain visible.
order_count,activity,number,orders,Number of completed or source-defined eligible orders.,denominator,,per-order metrics,Order definition and cancellations/exclusions must be documented.
paid_trip_distance_km,activity,number,km,Distance associated with paid passenger/delivery movement.,activity/denominator,,trip metrics,Not a proxy for total work-related distance.
pickup_distance_km,activity,number,km,Distance traveled to reach the passenger/order pickup.,activity/denominator,,distance decomposition,May be unavailable.
deadheading_repositioning_km,activity,number,km,Unpaid repositioning/deadheading distance attributable to work.,activity/denominator,,distance decomposition,May be unavailable.
total_work_related_distance_km,activity,number,km,"Total driving distance attributable to work, including unpaid operating distance where measured.",preferred denominator,,fuel and per-km economics,Preferred denominator for vehicle operating-cost allocation.
utilization_rate,derived_metric,number,ratio or percent,Share of online/available time classified as productive under compatible definitions.,derived,productive_or_engaged_hours / online_hours,utilization analysis,Both time measures must refer to compatible period/population.
realized_driver_deduction_rate,derived_metric,number,percent,Observed driver-side deduction relative to driver gross service earnings before deductions.,derived,driver_side_platform_deduction / driver_gross_service_earnings,deduction analysis,Not calculated from customer-to-driver gap.
customer_to_driver_gap,derived_metric,number,IDR,Customer payment/charge minus driver receipt under explicitly matched transaction definitions.,derived,matched customer amount - matched driver receipt,fare bridge,Not automatically platform commission.
customer_to_driver_gap_rate,derived_metric,number,percent,Customer-to-driver gap relative to the documented customer-side basis.,derived,customer_to_driver_gap / documented customer basis,fare bridge,Must not be labelled commission rate.
net_operating_earnings_cash_basis,derived_metric,number,IDR,Driver receipts minus documented operating cash costs and applicable vehicle cash outflows under the cash-flow treatment.,derived,documented receipts - eligible cash costs,unit economics,Do not also deduct depreciation in the same metric.
net_operating_earnings_economic_basis,derived_metric,number,IDR,Driver receipts minus documented operating costs and economic vehicle cost under the economic-cost treatment.,derived,documented receipts - eligible operating costs - eligible economic vehicle cost,unit economics,Financing principal is excluded when depreciation is charged.
net_earnings_per_online_hour,derived_metric,number,IDR/hour,Eligible net earnings divided by compatible online hours.,derived,eligible net earnings / online_hours,hourly economics,Net basis must be identified as cash or economic.
net_earnings_per_productive_hour,derived_metric,number,IDR/hour,Eligible net earnings divided by compatible productive/engaged hours.,derived,eligible net earnings / productive_or_engaged_hours,productive-hour economics,Not interchangeable with online-hour earnings.
net_earnings_per_order,derived_metric,number,IDR/order,Eligible net earnings divided by compatible order count.,derived,eligible net earnings / order_count,order economics,Numerator and orders must cover the same activity/period.
net_earnings_per_km,derived_metric,number,IDR/km,Eligible net earnings divided by compatible work-related distance.,derived,eligible net earnings / total_work_related_distance_km preferred,distance economics,Paid-trip km alone requires explicit caveat.
regulatory_deduction_rule,regulation,string/number,source-defined,Applicable regulatory fee/deduction provision and calculation basis.,normative evidence,,regulatory comparison,"Must bind to legal text, scope, service, geography, and effective date."
official_implementation_statement,regulation,string,text,Dated government/regulator statement about implementation or enforcement status.,implementation evidence,,regulatory comparison,Not equivalent to legal text or observed transaction.
platform_stated_deduction,regulation,string/number,source-defined,Dated company-stated deduction policy or implementation.,company-reported evidence,,regulatory comparison,Not treated as realized deduction without transaction evidence.
regulatory_reconciliation_status,regulation,enum,consistent_with_reference|apparent_difference_requires_reconciliation|not_assessable|outside_reference_scope,Result of comparing applicable reference and realized evidence after scope/basis checks.,classification,,regulatory comparison,Not a legal compliance determination.
nominal_value_idr,inflation,number,IDR,Original monetary value in nominal IDR for its observation period.,monetary observation,,cross-period analysis,Never overwritten by inflation adjustment.
real_value_idr,inflation,number,constant-price IDR,Inflation-adjusted monetary value derived with a documented price index and reference period.,derived,,cross-period analysis,"CPI series, geography, base/reference period, and formula required."
affordability_benchmark_value,benchmark,number,source-defined,Official or explicitly defined contextual affordability/income benchmark.,contextual evidence,,affordability analysis,Not an operating cost and not automatically a legal wage benchmark.
comparability_status,comparability,enum,directly_comparable|comparable_with_transformation|comparable_with_caveat|context_only|not_comparable,Eligibility of an observation pair/group for the intended comparison.,classification,,all cross-source analysis,"Assigned for a specific analytical use, not globally."
