source_id,source_title,publisher,source_type,source_url,publication_date,observation_period,geography,platform_scope,service_scope,vehicle_scope,sample_population,sampling_method,evidence_role,access_status,redistribution_status,primary_or_secondary,retrieval_date,stage1_status,key_limitations,notes
SRC011,Fairwork Indonesia 2022 Ratings: Labour Standards in the Platform Economy,Fairwork,research_report,https://fair.work/en/fw/publications/fairwork-indonesia-2022-ratings-labour-standards-in-the-platform-economy/,2022,2022 assessment cycle,Indonesia,11 platforms in report,multiple platform-work services,mixed; includes transport/delivery platform work,"6-10 workers interviewed per platform under Fairwork methodology, plus desk research and platform-management evidence",diverse purposive/non-probability recruitment; worker interviews explicitly not intended to be representative,logged-in time/work-related cost concepts; platform practices; fair pay context,primary_page_and_report_found_methodology_verified,reuse_terms_not_confirmed,primary,2026-08-27,acquired_primary_with_method_caveat,"Worker interviews are designed to establish whether processes/problems exist, not their prevalence; 6-10 workers per platform cannot support national earnings prevalence estimates.",Methodology uses desk research platform evidence and worker interviews.
SRC012,Fairwork Indonesia 2025 Ratings,CIPG / Fairwork,research_report,https://cipg.or.id/id/publikasi/peringkat-fairwork-indonesia-2025-2/,2025,2025 assessment cycle,Indonesia,multiple digital labour platforms,multiple platform-work services,mixed,80 workers interviewed in Jakarta between January and March 2025; around eight workers per platform,semi-structured purposive worker interviews complemented by desk research and platform evidence,platform practices; fair pay; work-related costs; working conditions,primary_page_and_report_found_methodology_verified,reuse_terms_not_confirmed,primary,2026-08-27,acquired_primary_with_method_caveat,2025 worker interviews are Jakarta-based and purposive; they do not estimate national earnings prevalence.,Worker sample covers ride-hailing delivery and home services.
SRC013,Policy Brief — Mengakhiri Kerja Tak Layak Ojek Daring,Institute for Demographic and Affluence Studies (IDEAS),research_policy_brief,https://drive.google.com/file/d/1_fAOEJd0W74ZkVLa7VX8wY4GPchHnLLa/view?usp=sharing,2026,1-15 December 2025,"Internal document discrepancy: narrative states 62 kabupaten/kota; methodology page states 67",multiple platforms,ojek daring,motorcycle,1,018 drivers,"Non-probability purposive sampling; enumerator interviews using digital forms plus snowball recruitment through driver networks","gross earnings, orders, distance, source-reported working hours, workdays, driver-reported deduction brackets, bonuses and driver characteristics",primary_report_reviewed,reuse_terms_not_confirmed,primary,2026-08-27,verified_with_caveats,"Operating-cost bundle includes fuel plus food/drink; source-reported net income is not project net operating earnings; locality count is internally inconsistent.",Regulatory statements in the brief are not treated as authoritative legal text.
SRC014,"Pendapatan Ojol Anjlok: Bersih Rp1,7 Juta, Jam Kerja Panjang — reporting IDEAS 2025 survey",Januari.id reporting IDEAS,secondary_research_summary,https://januari.id/pendapatan-ojol-turun-2025,2026-05-29,IDEAS survey reported as December 2025,Indonesia,multiple platforms,ojek daring,motorcycle,1,018 drivers reported,secondary summary,secondary corroboration for earnings hours deductions and cost components,secondary_article_found,link_only,secondary,2026-08-27,context_only,Secondary reporting cannot replace primary definitions and tables.,Primary IDEAS source is SRC013.
SRC015,Indeks Harga Konsumen 38 Provinsi di Indonesia 2025 (2022=100),Badan Pusat Statistik,official_statistics,https://www.bps.go.id/id/publication/2026/04/09/2e884b5204a3dbf5ddfca921/indeks-harga-konsumen-38-provinsi-di-indonesia-2025--2022-100-.html,2026-04-09,monthly 2025,Indonesia and 38 provinces,not applicable,consumer prices,not applicable,SHK outlets/respondents per BPS methodology,Survei Harga Konsumen,inflation adjustment and purchasing-power context,primary_page_and_publication_found,official_public_access,primary,2026-08-27,acquired_primary,CPI is not a driver operating-cost observation and must be geography/period matched for real-value conversion.,Base year 2022=100.
SRC016,Indeks Harga Konsumen 150 Kabupaten/Kota di Indonesia 2025 (2022=100),Badan Pusat Statistik,official_statistics,https://www.bps.go.id/assets/publication/2026/04/09/da0dd0e5fcbde579950b7e9f/indeks-harga-konsumen-150-kabupaten-kota-di-indonesia-2025--2022-100-.html,2026-04-09,monthly 2025,150 kabupaten/kota,not applicable,consumer prices,not applicable,SHK outlets/respondents per BPS methodology,Survei Harga Konsumen,city-level inflation adjustment and purchasing-power context,primary_page_and_publication_found,official_public_access,primary,2026-08-27,acquired_primary,Coverage is limited to BPS CPI cities.,Preferred over province/national CPI when observation geography is directly matched.
SRC017,"Mewujudkan Ekosistem Ojek Online yang Menyejahterakan, Berkelanjutan dan Berkeadilan",INDEF and Paramadina Public Policy Institute (PPPI),research_report,https://indef.or.id/publikasi/mewujudkan-ekosistem-ojek-online-yang-menyejahterakan-berkelanjutan-dan-berkeadilan/,2026-04,research conducted October 2025-March 2026,Indonesia,multiple platforms,ojek online ecosystem,primarily motorcycle ojol context,"1,000 drivers and 1,000 users",purposive sampling for survey components; mixed methods,"sample-level evidence for promo, tariff, commission perceptions/preferences, platform choice, incentives, safety and related ecosystem context",primary_report_reviewed,copyright_restricted,primary,2026-08-27,verified_with_caveats,"Purposive sample must not be treated as nationally representative; perceptions/preferences are not realized deductions; CGE outputs are modelled macro evidence rather than driver unit-economics observations.",Copyright notice restricts reproduction without written permission except short attributed quotations.
SRC018,Rata-Rata Pendapatan Harian Pengemudi Ojol Awal 2026 — reporting Litbang Kompas survey,Databoks / Litbang Kompas,secondary_survey_summary,https://databoks.katadata.co.id/ketenagakerjaan/statistik/698d3796e47e8/rata-rata-pendapatan-harian-pengemudi-ojol-awal-2026,2026-02-12,data collected 2026-01-19 to 2026-02-02,17 provinces in Indonesia,multiple platforms,ojek online,motorcycle,482-483 drivers reported across related sources; exact final n unresolved,"telephone/online wording differs across secondary reports; original sampling frame unavailable",gross daily earnings distribution; workdays; working hours,secondary_summary_found_original_pending,link_only,secondary,2026-08-27,secondary_only_pending_original,Related sources inconsistently report 482 vs 483 respondents. Original questionnaire/sampling frame is unavailable; generic working hours must not be relabelled online/productive hours.,Food plus fuel cannot be treated as project operating cost.
SRC019,Banyak Pengemudi Ojol Berharap Aplikator Kurangi Potongan Tarif — reporting Litbang Kompas survey,Databoks / Litbang Kompas,secondary_survey_summary,https://databoks.katadata.co.id/transportasi-logistik/statistik/698d8a3db928e/banyak-pengemudi-ojol-berharap-aplikator-kurangi-potongan-tarif,2026-02-12,data collected 2026-01-19 to 2026-02-02,17 provinces in Indonesia,multiple platforms,ojek online,motorcycle,483 drivers,telephone survey; original sampling frame pending,driver perceptions about deductions and platform policy,secondary_summary_found_original_pending,link_only,secondary,2026-08-27,secondary_only_pending_original,Perceptions and desired commission rates are not realized deduction observations.,Same underlying survey family as SRC018; sample is not treated as an independent study.
SRC020,Factors affecting online motorcycle-taxi driver income in Jabodetabek,E-Jurnal Ekonomi dan Bisnis Universitas Udayana,academic_article,https://ojs.unud.ac.id/index.php/eeb/article/view/123808,publication year to verify from article,study-specific period,Jabodetabek,study-specific platforms,ojek online,motorcycle,193 drivers,probability/cluster sampling at selected stations,local driver income determinants; supporting evidence,primary_article_page_found,reuse_terms_not_confirmed,primary_academic,2026-08-27,verified_with_caveats,Local study is not nationally representative; expenditure definition remains too broad for direct project operating-cost mapping.,Potential supporting source for workload/income relationships; association is not causal.
SRC021,Mengakhiri Kerja Tak Layak Ojek Online,Majalah Sedane; article by Yusuf Wibisono and Muhammad Anwar,author_linked_research_summary,https://majalahsedane.org/mengakhiri-kerja-tak-layak-ojek-online/,2026-06-11,IDEAS survey December 2025; prior comparison survey April-May 2023,"62 kabupaten/kota, especially Java and Sumatra agglomerations",multiple platforms,ojek online,motorcycle,"1,018 drivers in 2025 survey; 225 drivers in Jabodetabek in 2023 survey",non-probability purposive sampling,methodology/provenance corroboration for IDEAS policy brief; descriptive survey context,author_linked_article_found,link_only,author_linked_secondary_to_primary_brief,2026-08-27,usable_for_methodology_corroboration,Article is not the primary policy-brief file and reports 62 localities while the primary brief contains a 62-vs-67 internal discrepancy.,High-value provenance source because authors are the researchers and methodology is stated explicitly.
SRC022,Pertamina fuel prices effective 1 July 2026 — secondary reproduction of official Pertamina Patra Niaga price information,Kompas.com citing Pertamina Patra Niaga; cross-checked with ANTARA/Pertamina statements,fuel_price_secondary_official_reproduction,https://amp.kompas.com/tren/read/2026/07/01/070000765/resmi-ini-daftar-harga-bbm-pertamina-per-1-juli-2026-ada-yang-turun,2026-07-01,effective from 2026-07-01,Indonesia; product-specific regional prices,not applicable,fuel prices,motorcycle-compatible gasoline products,not applicable,not applicable,fuel-price input for date/geography/product-matched modelling or sensitivity analysis,secondary_reproduction_with_official_company_statement_corroboration,link_only,secondary_with_official_company_lineage,2026-08-27,usable_with_source_caveat_pending_primary_price_page_recovery,"Primary Pertamina regional price page was not verified in this source pass. Pertamax varies by region; values must be matched to date and geography. Pertalite was reported at Rp10,000/liter nationwide for this period.",July prices are not extrapolated to other periods.
SRC023,Fairwork Methodology,Fairwork,research_methodology,https://fair.work/en/fw/methodology/,current methodology page,methodology applicable to annual Fairwork rating cycles,global methodology,location-based and cloudwork platforms,platform work,mixed/not applicable,gig-work methodology interviews 6-10 workers per platform,diverse purposive/non-probability recruitment; explicitly non-representative,methodological interpretation of Fairwork worker interviews and platform ratings,primary_methodology_page_found,link_only,primary,2026-08-27,acquired_primary_methodology,"Methodology explains process evidence, not population prevalence; country reports must still be checked for year-specific deviations.",Three evidence streams: desk research platform management evidence/interviews and worker surveys/interviews.
SRC024,Survei mayoritas pengguna tetap pakai ojol meski tarif naik,ANTARA News,methodology_corroboration,https://www.antaranews.com/berita/3111405/survei-mayoritas-pengguna-tetap-pakai-ojol-meski-tarif-naik,2022-09-11,16-24 August 2022,31 kabupaten/kota,multiple platforms,ojek online,motorcycle,810 drivers,multistage random sampling,methodology/provenance corroboration for Polling Institute 2022,secondary_page_found,link_only,secondary,2026-08-27,context_only,Secondary report does not replace original survey tables.,Corroborates fieldwork period sample geography sampling method and reported margin of error.
SRC025,Paparan Kajian Transportasi Online,INDEF and Paramadina Public Policy Institute (PPPI),research_presentation,https://indef.or.id/wp-content/uploads/2026/06/Paparan-Kajian-Transportasi-Online.pdf,2026,research conducted October 2025-March 2026,Indonesia,multiple platforms,ojek online,motorcycle,Same survey programme as SRC017,purposive sampling,sample-level survey perceptions on tariffs promotions and commission differences,primary_presentation_found,copyright_restricted,primary,2026-08-27,usable_with_caveat,Presentation shares the purposive-sample limits of SRC017 and does not establish realized deductions.,Companion material to SRC017.
SRC026,Grab statement on maximum 8% commission implementation and processing mechanics,Grab Indonesia,platform_official_statement,https://www.grab.com/id/en/press/others/perkuat-keselamatan-transportasi-online-grab-kementerian-perhubungan-dan-aisi-latih-1-052-mitra-pengemudi-untuk-berkendara-aman-di-lima-kota/,2026-07-28,implementation described from 2026-07-01,Indonesia,Grab,two-wheel transport,motorcycle,,,platform-stated fee implementation and processing mechanics,primary_page_found,link_only,primary_company_statement,2026-08-27,usable_as_platform_stated_only,Company statement is not transaction-level realized deduction evidence.,Processing timing is analytically separate from deduction rate.
SRC027,Gojek GoSend application-fee help page,Gojek,platform_help_document,https://www.gojek.com/id-id/help/gosend/i-was-charged-for-a-platform-fee-1,current at retrieval,retrieval-period statement,Indonesia,Gojek,GoSend,primarily motorcycle delivery,,,service-specific fee definitions,primary_page_found,link_only,primary_company_document,2026-08-27,usable_with_service_scope,GoSend definitions are service-specific and are not automatically applicable to GoRide or GoFood.,Useful for separating customer-side application fee from driver travel fare.
SRC028,Keputusan Menteri Perhubungan Republik Indonesia Nomor KP 564 Tahun 2022 tentang Pedoman Perhitungan Biaya Jasa Penggunaan Sepeda Motor yang Digunakan untuk Kepentingan Masyarakat yang Dilakukan dengan Aplikasi,Kementerian Perhubungan,legal_text,https://jdih.dephub.go.id/peraturan/detail?data=20zRRtJQYdQFAWOGyapHjI4TtsbQgUP8r4ZHlX7we1bd8hfJHvg6ixj8bJrgl5YMhL4jvn1UqS5jB4p5Wjr3Ae9N8bLPXSKeM3H4ZGRjm0LrU2HbtNnWYNFBsLSQD6YiMSwMLhqSYizZJpZB06TCh0mlmr,2022-08-04,4 August 2022 until revoked,Indonesia by tariff zones,all applicable app providers,motorcycle passenger transport,motorcycle,,,historical tariff regime; regulated cost structure; application-use fee ceiling,primary_document_reviewed,official_public_access,primary,2026-08-27,historical_regulatory_reference,JDIH records status Dicabut; later changed by KP 580/2022 and KP 633/2022 and revoked by KP 667/2022.,Original instrument sets a 20% maximum application-use fee and lists direct cost components including depreciation fuel tyres maintenance phone/data and insurance.
SRC029,Ilusi Sejahtera Ojek Daring Metropolitan,Institute for Demographic and Affluence Studies (IDEAS),research_policy_brief,https://linktr.ee/ideas.riset,2023,April-May 2023,Jabodetabek; 10 transport nodes,multiple platforms,ojek daring,motorcycle,225 drivers,non-probability purposive sampling,"gross earnings, orders, distance, source-reported working hours, workdays, deductions, bonuses and driver characteristics",primary_report_reviewed,reuse_terms_not_confirmed,primary,2026-08-27,verified_with_caveats,Not nationally representative; historical 2018-2019 and 2020-2021 earnings are retrospective self-reports from longer-tenure respondents rather than independent survey waves; cost bundle includes food/drink.,Listed in the official IDEAS Survey Ojol 2020 and 2023 collection.
SRC030,Kerja Layak Metropolitan - Balada Ojek Daring,Institute for Demographic and Affluence Studies (IDEAS),research_policy_brief,https://linktr.ee/ideas.riset,2020,2020 survey period as reported,Jabodetabek,multiple platforms,ojek daring,motorcycle,Approximately 542 ojol respondents; denominators vary by item,non-probability purposive sampling,historical local evidence for earnings work intensity employment status and related driver conditions,primary_report_reviewed,reuse_terms_not_confirmed,primary,2026-08-27,verified_with_caveats,Broader metropolitan-labour brief with ojol as one section; not nationally representative.,Listed in the official IDEAS Survey Ojol 2020 and 2023 collection.
